id,category,mode,recall@10,mrr,ndcg@10,latency_ms,n_primaries
RQ-001,simple_penalty,hybrid,0.0,0.0,0.0,160.5,10
RQ-002,simple_penalty,hybrid,1.0,0.16666666666666666,0.3562071871080222,75.3,10
RQ-003,simple_penalty,hybrid,0.0,0.0,0.0,75.3,10
RQ-004,simple_penalty,hybrid,1.0,0.125,0.31546487678572877,72.4,10
RQ-005,simple_penalty,hybrid,1.0,1.0,1.0437713091520255,94.0,10
RQ-006,multi_intent,hybrid,0.0,0.0,0.0,82.6,10
RQ-007,multi_intent,hybrid,0.5,1.0,0.8772153153380493,93.2,10
RQ-008,multi_intent,hybrid,0.0,0.0,0.0,80.1,10
RQ-009,multi_intent,hybrid,1.0,1.0,1.0,91.8,10
RQ-010,multi_intent,hybrid,0.0,0.0,0.0,89.5,10
RQ-011,cross_reference,hybrid,0.0,0.0,0.0,81.0,10
RQ-012,cross_reference,hybrid,0.0,0.0,0.0,81.0,10
RQ-013,cross_reference,hybrid,1.0,0.14285714285714285,0.3333333333333333,80.7,10
RQ-014,cross_reference,hybrid,0.0,0.0,0.0,103.2,10
RQ-015,cross_reference,hybrid,1.0,0.3333333333333333,0.5,78.6,10
RQ-016,procedure,hybrid,1.0,1.0,1.0,89.7,10
RQ-017,procedure,hybrid,1.0,0.25,0.43067655807339306,91.6,10
RQ-018,procedure,hybrid,0.0,0.0,0.0,90.1,10
RQ-019,procedure,hybrid,1.0,1.0,1.0,93.9,10
RQ-020,procedure,hybrid,0.0,0.0,0.0,88.3,10
RQ-021,out_of_scope,hybrid,1.0,0.0,0.0,108.8,10
RQ-022,out_of_scope,hybrid,1.0,0.0,0.0,96.8,10
RQ-023,out_of_scope,hybrid,1.0,0.0,0.0,85.6,10
RQ-024,out_of_scope,hybrid,1.0,0.0,0.0,91.2,10
RQ-025,out_of_scope,hybrid,1.0,0.0,0.0,89.0,10
RQ-001,simple_penalty,hybrid+rerank,0.0,0.0,0.0,47021.5,10
RQ-002,simple_penalty,hybrid+rerank,1.0,0.25,0.43067655807339306,42486.8,10
RQ-003,simple_penalty,hybrid+rerank,0.0,0.0,0.0,45058.8,10
RQ-004,simple_penalty,hybrid+rerank,0.0,0.0,0.0,40966.3,10
RQ-005,simple_penalty,hybrid+rerank,1.0,1.0,1.1845756967795682,43334.9,10
RQ-006,multi_intent,hybrid+rerank,0.5,0.1,0.17723928678404774,41853.2,10
RQ-007,multi_intent,hybrid+rerank,0.5,1.0,0.8772153153380493,41293.3,10
RQ-008,multi_intent,hybrid+rerank,0.0,0.0,0.0,42028.0,10
RQ-009,multi_intent,hybrid+rerank,1.0,1.0,1.0,41479.5,10
RQ-010,multi_intent,hybrid+rerank,0.0,0.0,0.0,44413.7,10
RQ-011,cross_reference,hybrid+rerank,0.0,0.0,0.0,31889.7,10
RQ-012,cross_reference,hybrid+rerank,0.0,0.0,0.0,38600.7,10
RQ-013,cross_reference,hybrid+rerank,1.0,1.0,1.0,32355.4,10
RQ-014,cross_reference,hybrid+rerank,0.0,0.0,0.0,39436.1,10
RQ-015,cross_reference,hybrid+rerank,1.0,0.5,0.6309297535714575,43286.4,10
RQ-016,procedure,hybrid+rerank,1.0,0.3333333333333333,0.5,43258.1,10
RQ-017,procedure,hybrid+rerank,1.0,0.25,0.43067655807339306,43900.8,10
RQ-018,procedure,hybrid+rerank,0.0,0.0,0.0,43580.2,10
RQ-019,procedure,hybrid+rerank,1.0,1.0,1.0,43391.7,10
RQ-020,procedure,hybrid+rerank,0.0,0.0,0.0,42695.7,10
RQ-021,out_of_scope,hybrid+rerank,1.0,0.0,0.0,42369.2,10
RQ-022,out_of_scope,hybrid+rerank,1.0,0.0,0.0,41981.4,10
RQ-023,out_of_scope,hybrid+rerank,1.0,0.0,0.0,43646.9,10
RQ-024,out_of_scope,hybrid+rerank,1.0,0.0,0.0,44346.7,10
RQ-025,out_of_scope,hybrid+rerank,1.0,0.0,0.0,42755.1,10
