id,category,mode,recall@10,mrr,ndcg@10,latency_ms,n_primaries
RQ-001,simple_penalty,hybrid,0.0,0.0,0.0,1979.4,10
RQ-002,simple_penalty,hybrid,0.0,0.0,0.0,388.4,10
RQ-003,simple_penalty,hybrid,0.0,0.0,0.0,671.3,10
RQ-004,simple_penalty,hybrid,0.0,0.0,0.0,542.3,10
RQ-005,simple_penalty,hybrid,1.0,1.0,1.1144130281073454,769.0,10
RQ-006,multi_intent,hybrid,0.5,0.14285714285714285,0.20438239758848611,733.0,10
RQ-007,multi_intent,hybrid,0.5,1.0,0.8503449055347546,580.7,10
RQ-008,multi_intent,hybrid,0.0,0.0,0.0,611.3,10
RQ-009,multi_intent,hybrid,1.0,1.0,1.0,741.1,10
RQ-010,multi_intent,hybrid,0.0,0.0,0.0,765.9,10
RQ-011,cross_reference,hybrid,0.0,0.0,0.0,823.8,10
RQ-012,cross_reference,hybrid,0.0,0.0,0.0,487.7,10
RQ-013,cross_reference,hybrid,1.0,0.5,2.898287324662436,683.2,10
RQ-014,cross_reference,hybrid,0.0,0.0,0.0,444.4,10
RQ-015,cross_reference,hybrid,0.0,0.0,0.0,563.1,10
RQ-016,procedure,hybrid,1.0,1.0,1.0,733.9,10
RQ-017,procedure,hybrid,0.0,0.0,0.0,774.7,10
RQ-018,procedure,hybrid,0.0,0.0,0.0,975.0,10
RQ-019,procedure,hybrid,1.0,1.0,1.0,559.4,10
RQ-020,procedure,hybrid,0.0,0.0,0.0,459.0,10
RQ-026,ambiguous_short,hybrid,0.0,0.0,0.0,637.8,10
RQ-027,ambiguous_short,hybrid,0.0,0.0,0.0,672.3,10
RQ-028,ambiguous_short,hybrid,0.3333333333333333,1.0,0.46927872602275644,671.1,10
RQ-029,ambiguous_short,hybrid,0.5,1.0,0.6131471927654584,902.0,10
RQ-030,ambiguous_short,hybrid,0.0,0.0,0.0,525.5,10
RQ-031,compound_action,hybrid,1.0,1.0,1.3868528072345416,669.8,10
RQ-032,compound_action,hybrid,0.0,0.0,0.0,778.1,10
RQ-033,compound_action,hybrid,1.0,0.14285714285714285,0.39780880120575696,832.9,10
RQ-034,compound_action,hybrid,0.5,0.2,0.23719771276929622,713.1,10
RQ-035,compound_action,hybrid,0.0,0.0,0.0,595.0,10
RQ-036,vehicle_binding,hybrid,0.0,0.0,0.0,737.3,10
RQ-037,vehicle_binding,hybrid,0.0,0.0,0.0,526.6,10
RQ-038,vehicle_binding,hybrid,1.0,1.0,2.2461414348591218,898.0,10
RQ-039,vehicle_binding,hybrid,1.0,1.0,2.692888200125607,563.5,10
RQ-040,vehicle_binding,hybrid,0.0,0.0,0.0,766.5,10
RQ-001,simple_penalty,hybrid+rerank,0.0,0.0,0.0,138135.0,10
RQ-002,simple_penalty,hybrid+rerank,1.0,0.3333333333333333,0.5,110126.5,10
RQ-003,simple_penalty,hybrid+rerank,0.0,0.0,0.0,134517.5,10
RQ-004,simple_penalty,hybrid+rerank,0.0,0.0,0.0,116150.0,10
RQ-005,simple_penalty,hybrid+rerank,1.0,1.0,1.0,128521.4,10
RQ-006,multi_intent,hybrid+rerank,0.5,0.25,0.2640681225725909,128222.3,10
RQ-007,multi_intent,hybrid+rerank,0.5,1.0,0.8772153153380493,93481.9,10
RQ-008,multi_intent,hybrid+rerank,0.0,0.0,0.0,123665.9,10
RQ-009,multi_intent,hybrid+rerank,1.0,1.0,1.0,122406.4,10
RQ-010,multi_intent,hybrid+rerank,0.0,0.0,0.0,119054.8,10
RQ-011,cross_reference,hybrid+rerank,0.0,0.0,0.0,76116.4,10
RQ-012,cross_reference,hybrid+rerank,0.0,0.0,0.0,87198.3,10
RQ-013,cross_reference,hybrid+rerank,1.0,1.0,3.637999639320748,85456.1,10
RQ-014,cross_reference,hybrid+rerank,0.0,0.0,0.0,93700.6,10
RQ-015,cross_reference,hybrid+rerank,1.0,0.3333333333333333,0.5,101246.4,10
RQ-016,procedure,hybrid+rerank,1.0,0.3333333333333333,0.5,125883.3,10
RQ-017,procedure,hybrid+rerank,1.0,0.125,0.31546487678572877,130934.0,10
RQ-018,procedure,hybrid+rerank,0.0,0.0,0.0,118900.6,10
RQ-019,procedure,hybrid+rerank,1.0,1.0,1.0,134229.5,10
RQ-020,procedure,hybrid+rerank,0.0,0.0,0.0,127114.2,10
RQ-026,ambiguous_short,hybrid+rerank,1.0,0.25,0.5012658353418871,104525.5,10
RQ-027,ambiguous_short,hybrid+rerank,1.0,0.2,0.38685280723454163,119663.4,10
RQ-028,ambiguous_short,hybrid+rerank,0.3333333333333333,1.0,0.46927872602275644,120382.9,10
RQ-029,ambiguous_short,hybrid+rerank,0.5,0.3333333333333333,0.3065735963827292,124775.9,10
RQ-030,ambiguous_short,hybrid+rerank,0.0,0.0,0.0,117498.2,10
RQ-031,compound_action,hybrid+rerank,1.0,1.0,1.3562071871080221,109950.6,10
RQ-032,compound_action,hybrid+rerank,0.5,0.2,0.23719771276929622,116881.7,10
RQ-033,compound_action,hybrid+rerank,1.0,0.5,0.7684744916070755,78130.3,10
RQ-034,compound_action,hybrid+rerank,0.5,0.3333333333333333,0.3065735963827292,113387.1,10
RQ-035,compound_action,hybrid+rerank,0.0,0.0,0.0,119775.3,10
RQ-036,vehicle_binding,hybrid+rerank,0.0,0.0,0.0,89918.1,10
RQ-037,vehicle_binding,hybrid+rerank,0.0,0.0,0.0,79491.2,10
RQ-038,vehicle_binding,hybrid+rerank,1.0,0.5,1.8506711379627385,114355.8,10
RQ-039,vehicle_binding,hybrid+rerank,1.0,1.0,3.4671660104124484,73185.3,10
RQ-040,vehicle_binding,hybrid+rerank,0.0,0.0,0.0,89386.0,10
